cardNumber;chequeDate;chequeTime;goodsId;quantity;sumItem;cashback;payment;sum;merchant;purchaseId;locationId;DescriptionMerchant;brandID;DescriptionGoods
2330;7782891000147178626;2019-11-15;18:44:02;310786;1;4.9;;;1134;М5;103_8_138_197942;21E126B6-2CC5-44F4-99F2-51448C67D9FA;Гипермаркет, Спар_05, ул. Братьев Кашириных, 133;846C70F8-9F4A-4C57-AD48-E170FB9A8E4C;МЕШОК-МАЙКА ПЭ SPAR 580*370/100 (21мкм) [0291436]
2331;7782891000147259376;2019-11-01;15:43:13;207497;1;61.99;;;1258.54;М29;29_4_101_241379;28095ADD-5B86-48B8-9EEF-7C0964FAE36D;Супермаркет, Спар_29, ул. Транспортная, 35;CAF85866-8782-4BDC-94C1-81D24E80A6BF;МОЛОКО КОНЦЕНТРИРОВАННОЕ ШАДРИНСК 300Г 7,1% COMBIBLOK С КРЫШКОЙ [0152785]
2331;7782891000147259376;2019-11-01;15:43:13;310786;1;4.9;;;1258.54;М29;29_4_101_241379;28095ADD-5B86-48B8-9EEF-7C0964FAE36D;Супермаркет, Спар_29, ул. Транспортная, 35;CAF85866-8782-4BDC-94C1-81D24E80A6BF;МЕШОК-МАЙКА ПЭ SPAR 580*370/100 (21мкм) [0291436]
2331;7782891000147259376;2019-11-01;15:43:13;322549;1;389.99;;;1258.54;М29;29_4_101_241379;28095ADD-5B86-48B8-9EEF-7C0964FAE36D;Супермаркет, Спар_29, ул. Транспортная, 35;CAF85866-8782-4BDC-94C1-81D24E80A6BF;МЯКОТЬ БЕДРА ГОВЯЖЬЯ МИРАТОРГ 800Г BLACK ANGUS ОХЛ. В/У [0304273]
2331;7782891000147259376;2019-11-04;14:57:29;1699;0.462;184.75;;;1981;М29;29_9_174_155814;28095ADD-5B86-48B8-9EEF-7C0964FAE36D;Супермаркет, Спар_29, ул. Транспортная, 35;CAF85866-8782-4BDC-94C1-81D24E80A6BF;ХОЛОДЕЦ ДОМАШНИЙ 1КГ [0045609]
2331;7782891000147259376;2019-11-04;14:57:29;207497;2;123.98;;;1981;М29;29_9_174_155814;28095ADD-5B86-48B8-9EEF-7C0964FAE36D;Супермаркет, Спар_29, ул. Транспортная, 35;CAF85866-8782-4BDC-94C1-81D24E80A6BF;МОЛОКО КОНЦЕНТРИРОВАННОЕ ШАДРИНСК 300Г 7,1% COMBIBLOK С КРЫШКОЙ [0152785]
2331;7782891000147259376;2019-11-04;14:57:29;310786;1;4.9;;;1981;М29;29_9_174_155814;28095ADD-5B86-48B8-9EEF-7C0964FAE36D;Супермаркет, Спар_29, ул. Транспортная, 35;CAF85866-8782-4BDC-94C1-81D24E80A6BF;МЕШОК-МАЙКА ПЭ SPAR 580*370/100 (21мкм) [0291436]
2331;7782891000147259376;2019-11-04;14:57:48;1699;0.462;184.75;;;1981;М29;29_9_174_155814;28095ADD-5B86-48B8-9EEF-7C0964FAE36D;Супермаркет, Спар_29, ул. Транспортная, 35;CAF85866-8782-4BDC-94C1-81D24E80A6BF;ХОЛОДЕЦ ДОМАШНИЙ 1КГ [0045609]
2331;7782891000147259376;2019-11-04;14:57:48;207497;2;123.98;;;1981;М29;29_9_174_155814;28095ADD-5B86-48B8-9EEF-7C0964FAE36D;Супермаркет, Спар_29, ул. Транспортная, 35;CAF85866-8782-4BDC-94C1-81D24E80A6BF;МОЛОКО КОНЦЕНТРИРОВАННОЕ ШАДРИНСК 300Г 7,1% COMBIBLOK С КРЫШКОЙ [0152785]
2331;7782891000147259376;2019-11-04;14:57:48;310786;1;4.9;;;1981;М29;29_9_174_155814;28095ADD-5B86-48B8-9EEF-7C0964FAE36D;Супермаркет, Спар_29, ул. Транспортная, 35;CAF85866-8782-4BDC-94C1-81D24E80A6BF;МЕШОК-МАЙКА ПЭ SPAR 580*370/100 (21мкм) [0291436]
2331;7782891000147259376;2019-11-06;12:43:56;207497;1;61.99;244;;1452.28;М29;29_2_113_416109;28095ADD-5B86-48B8-9EEF-7C0964FAE36D;Супермаркет, Спар_29, ул. Транспортная, 35;CAF85866-8782-4BDC-94C1-81D24E80A6BF;МОЛОКО КОНЦЕНТРИРОВАННОЕ ШАДРИНСК 300Г 7,1% COMBIBLOK С КРЫШКОЙ [0152785]
